Time,Ask,Bid,AskVolume,BidVolume 
2015.01.02 04:35:11.748,1.20561,1.20556,1.28,1
2015.01.02 04:35:12.292,1.20562,1.20556,2.66,1.06
2015.01.02 04:35:21.493,1.20563,1.20557,2.7,1
2015.01.02 04:35:32.993,1.2056,1.20557,1.12,1
2015.01.02 04:35:33.247,1.20555,1.20554,3.37,1
2015.01.02 04:35:33.348,1.20554,1.2055,1,2.29
2015.01.02 04:35:33.854,1.20555,1.2055,5.25,1.35
2015.01.02 04:35:40.941,1.20555,1.2055,5.67,1.17
2015.01.02 04:35:54.504,1.20554,1.2055,1,1.17
2015.01.02 04:35:58.034,1.20553,1.2055,1.5,1.06
2015.01.02 04:36:05.978,1.20552,1.20549,1,1.28
2015.01.02 04:36:06.501,1.20552,1.20549,1,1
2015.01.02 04:36:07.470,1.20552,1.20547,1,1.72
2015.01.02 04:36:15.565,1.20551,1.20547,1,1.72
2015.01.02 04:36:24.969,1.20552,1.20548,1,1.54
2015.01.02 04:36:25.222,1.20551,1.20548,1.69,1.54
2015.01.02 04:36:25.374,1.20545,1.20542,3.75,2.32
2015.01.02 04:36:25.829,1.20545,1.20542,4.5,1.92
2015.01.02 04:36:28.282,1.20545,1.20542,5.25,1.92
2015.01.02 04:36:29.425,1.20545,1.20542,5.25,1.92
2015.01.02 04:36:57.687,1.20544,1.2054,1,5.1
2015.01.02 04:36:58.092,1.20542,1.2054,1.19,3.93
2015.01.02 04:36:58.395,1.20532,1.20529,1,1.72
2015.01.02 04:36:58.497,1.2053,1.20526,1,1.54
2015.01.02 04:36:58.648,1.20532,1.20526,1.5,1.54
2015.01.02 04:36:58.901,1.20532,1.20526,1.95,1.5
2015.01.02 04:36:59.407,1.20529,1.20526,1,1.69
2015.01.02 04:36:59.912,1.20529,1.20524,1,1.25
2015.01.02 04:37:00.419,1.20529,1.20525,1,1
2015.01.02 04:37:00.924,1.2053,1.20525,1.5,1.06
2015.01.02 04:37:01.629,1.2053,1.20525,1.5,1.36
2015.01.02 04:37:05.817,1.20529,1.20525,1,1.36
2015.01.02 04:37:06.135,1.20527,1.20524,1,1.24
2015.01.02 04:37:06.289,1.20522,1.20521,1,1
2015.01.02 04:37:06.340,1.20518,1.20515,1.5,3.7
2015.01.02 04:37:06.391,1.20515,1.2051,2.25,1.95
2015.01.02 04:37:06.442,1.20513,1.2051,1,1.52
2015.01.02 04:37:06.548,1.20512,1.20506,1.25,4.12
2015.01.02 04:37:07.056,1.2051,1.20504,1,2.44
2015.01.02 04:37:07.460,1.20509,1.20506,1,1
2015.01.02 04:37:07.965,1.20509,1.20505,1,1.46
2015.01.02 04:37:09.084,1.2051,1.20504,1,3.26
2015.01.02 04:37:09.589,1.20509,1.20504,1,3.56
2015.01.02 04:37:10.095,1.20508,1.20504,1,3.56
2015.01.02 04:37:10.605,1.20509,1.20504,1,3.56
2015.01.02 04:37:11.112,1.20508,1.20505,1,1.12
2015.01.02 04:37:11.415,1.20508,1.20505,1,1.57
2015.01.02 04:37:18.243,1.2051,1.20505,4.12,1.57
2015.01.02 04:37:18.344,1.20509,1.20505,1.12,1.52
2015.01.02 04:37:18.395,1.20509,1.20505,1.12,1.06
2015.01.02 04:37:18.446,1.20507,1.20505,1,1.06
2015.01.02 04:37:18.951,1.20508,1.20505,1,1.06
2015.01.02 04:37:20.990,1.20507,1.20505,1,1.06
2015.01.02 04:37:21.294,1.20504,1.20499,1.22,2.25
2015.01.02 04:37:21.345,1.205,1.20498,1.37,1
2015.01.02 04:37:21.396,1.205,1.20497,1.87,4.54
2015.01.02 04:37:21.447,1.20496,1.20494,1.37,1.06
2015.01.02 04:37:21.498,1.20494,1.20492,1,1.5
2015.01.02 04:37:21.550,1.20496,1.20493,1,3
2015.01.02 04:37:21.753,1.20496,1.20493,1.37,1.5
2015.01.02 04:37:21.956,1.20498,1.20494,2.06,1
2015.01.02 04:37:22.108,1.20495,1.20494,1,1
2015.01.02 04:37:22.361,1.20501,1.20497,1.01,1.5
2015.01.02 04:37:23.067,1.20498,1.20496,1,1
2015.01.02 04:37:24.268,1.20499,1.20497,1,1.5
2015.01.02 04:37:24.571,1.20501,1.20497,1.06,1.5
2015.01.02 04:37:25.439,1.20502,1.20497,1,1.5
2015.01.02 04:37:25.540,1.20502,1.20498,1,1.28
2015.01.02 04:37:27.166,1.20504,1.20501,2.29,2.25
2015.01.02 04:37:27.220,1.20504,1.20502,1.54,3.75
2015.01.02 04:37:27.270,1.20505,1.20503,1.24,1
2015.01.02 04:37:27.372,1.20507,1.20504,1.06,1.5
2015.01.02 04:37:27.574,1.20509,1.20506,1,1
2015.01.02 04:37:27.979,1.20512,1.20506,1.12,2.47
2015.01.02 04:37:28.483,1.20513,1.20506,2.81,3.45
2015.01.02 04:37:29.020,1.20513,1.20508,2.25,1.06
2015.01.02 04:37:29.323,1.20513,1.20512,1,1
2015.01.02 04:37:29.526,1.20519,1.20514,3.07,2.25
2015.01.02 04:37:29.678,1.2052,1.20516,1.28,1
2015.01.02 04:37:30.183,1.2052,1.20516,1,1.25
2015.01.02 04:37:30.487,1.20515,1.20511,2.62,1.06
2015.01.02 04:37:30.790,1.20513,1.20507,2.86,1.06
2015.01.02 04:37:30.942,1.20513,1.20507,3.26,1
2015.01.02 04:37:31.043,1.20513,1.20507,2.48,1.06
2015.01.02 04:37:33.187,1.20512,1.20508,1,1
2015.01.02 04:37:34.967,1.20513,1.20508,1.06,1
2015.01.02 04:37:36.802,1.20512,1.20508,1,1
2015.01.02 04:37:37.066,1.20512,1.20508,1.69,1
2015.01.02 04:37:37.602,1.20512,1.20506,1.69,2.47
2015.01.02 04:37:38.201,1.20512,1.20506,1,3.22
2015.01.02 04:37:38.720,1.20514,1.20508,1.91,2.25
2015.01.02 04:37:39.243,1.20514,1.20509,1.31,1
2015.01.02 04:37:40.531,1.20515,1.20511,6.04,1
2015.01.02 04:37:41.036,1.20515,1.20512,1.5,1.06
2015.01.02 04:37:41.565,1.20515,1.20511,4.5,1.06
2015.01.02 04:37:43.955,1.20517,1.20511,2.11,2.29
2015.01.02 04:37:44.459,1.20515,1.20512,5.25,1
2015.01.02 04:37:44.987,1.20515,1.20511,6,1.06
2015.01.02 04:37:45.630,1.20514,1.20511,1.5,1.06
2015.01.02 04:37:48.578,1.20513,1.20511,1,1.06
2015.01.02 04:37:51.510,1.20513,1.20509,1,1.72
2015.01.02 04:37:51.860,1.20513,1.20509,1.11,1.24
2015.01.02 04:37:56.589,1.20513,1.20509,1.11,1.06
2015.01.02 04:37:57.044,1.20512,1.20508,1,1
2015.01.02 04:37:57.246,1.20512,1.2051,1,1
2015.01.02 04:37:57.789,1.20513,1.2051,1,1
2015.01.02 04:38:07.400,1.20513,1.20511,1,1
2015.01.02 04:38:07.905,1.20512,1.2051,1,1
2015.01.02 04:38:17.740,1.20512,1.20507,1.19,3.04
2015.01.02 04:38:19.397,1.20509,1.20507,1,3.04
2015.01.02 04:38:29.596,1.20509,1.20506,1,1
2015.01.02 04:38:30.571,1.20508,1.20505,1,1
2015.01.02 04:38:30.824,1.20505,1.20503,1,1.06
2015.01.02 04:38:30.925,1.20504,1.20501,1.5,1.52
